Name,JudgeName,Region,Province,Locality,Address,PostalCode,PhoneNumbers,Email,Fax,Url
Juzgado de lo Social nº 1,"ALVAREZ POSADA, NURIA",Asturias,Asturias,Avilés,"C/ Marcos del Torniello, 27 - 2ª Plta.",33401,"98 512 78 47, 98 512 78 46",juzgadosocial1.aviles@asturias.org,98 512 78 48,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--1---Aviles?provincia=33
Audiencia Provincial Penal nº 3,"ANGULO GONZALEZ DE LARA, IGNACIO FRANCISCO",Andalucía,Almería,Almería,"C/ Reina Regente, 4",04001,"950 03 72 74, 600 15 53 22",AtPublico.Audiencia.S3.Penal.Almeria.JUS@juntadeandalucia.es,950 00 50 26,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Penal-n--3---Almeria?provincia=04
Juzgado de Primera Instancia e Instrucción nº 7,"ISERN ROSSELLO, ROSA JUANA",Cataluña,Barcelona,Arenys de Mar,"Auterive, s/n",08350,"93 693 10 64, 93 792 41 25",mixte7.arenys@xij.gencat.cat,93 693 10 67,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--7---Arenys-de-Mar?provincia=08
Juzgado de Primera Instancia e Instrucción nº 2,"CHARRO MORO, JUAN",Castilla y León,Ávila,Arenas de San Pedro,"Pza. Condestable Dávalos, s/n",05400,"920 37 25 49, 920 37 25 59",mixto2.arenasdesanpedro@justicia.es,920 37 15 75,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Arenas-de-San-Pedro?provincia=05
Audiencia Provincial Presidencia,"GUERRERO ROMEO, MARIA MERCEDES",País Vasco,Araba/Álava,Vitoria-Gasteiz,"Avda. Gasteiz, 18",01008,"945 00 48 21, 945 00 48 97",010292002@justizia.eus,945 00 48 20,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Presidencia---Vitoria-Gasteiz?provincia=01
Audiencia Provincial Penal nº 1,"DURA CARRILLO, JOSE ANTONIO",Comunidad Valenciana,Alicante,Alicante/Alacant,"Pza. del Ayuntamiento, s/n",03002,"96 516 98 07, 96 516 98 08",alap01_ali@gva.es,96 516 98 11,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Penal-n--1---Alicante-Alacant?provincia=03
Juzgado de Primera Instancia e Instrucción nº 1,"VILLANUEVA BENITEZ, RAQUEL ANTONIA",Asturias,Asturias,Avilés,"C/ Marcos del Torniello, 27 - 3ª Plta.",33401,"98 512 78 09, 98 512 78 11",juzgado1.aviles@asturias.org,98 512 78 12,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Aviles?provincia=33
Juzgado de Primera Instancia nº 6,"LUENGO PUERTA, MARIA DEL PILAR",Andalucía,Almería,Almería,Ctra. de Ronda 120,04006,"950 80 90 61, 950 80 90 62",AtPublico.JInstancia.6.Almeria.Familia.JUS@juntadeandalucia.es,950 20 41 63,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--6---Almeria?provincia=04
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo,"ESTEVEZ GOYTRE, RICARDO",Castilla la Mancha,Albacete,Albacete,"C/ San Agustín, 1",02001,"967 59 65 84, 967 59 65 80",tribunalsuperior.contencioso1.albacete@justicia.es,967 59 65 90,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Contencioso-Administrativo---Albacete?provincia=02
Juzgado de Primera Instancia e Instrucción nº 1,"GOROSTIZA ALVAREZ, MARIA VANESA",Cantabria,Cantabria,Medio Cudeyo,"Ps. Santa Matilde, s/n",39724,942 52 08 12,juzgado.mediocudeyo1@justicia.cantabria.es,942 52 01 81,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Medio-Cudeyo?provincia=39
Juzgado de Primera Instancia nº 1,"RIVAS HIDALGO, RAQUEL",Extremadura,Badajoz,Badajoz,"Avda. de Colón, 8 - 3ª Plta.",06005,"924 28 42 28, 924 28 42 63",instancia1.badajoz@justicia.es,924 28 42 91,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--1---Badajoz?provincia=06
Juzgado de Primera Instancia e Instrucción nº 2,"LOPEZ MOURE, CARMEN",Galicia,A Coruña,Betanzos,"Praza Irmáns García Naveira, s/n",15300,"881 88 14 13, 881 88 14 14",mixto2.betanzos@xustiza.gal,881 88 14 18,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Betanzos?provincia=15
Juzgado de Primera Instancia e Instrucción nº 2,"OTIN COUSO, ANTIA",Galicia,A Coruña,Corcubión,"Avda. da Viña, s/n",15130,"881 88 14 56, 881 88 14 54",mixto2.corcubion@xustiza.gal,881 88 14 58,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Corcubion?provincia=15
Juzgado de Primera Instancia e Instrucción nº 4,"SANCHEZ PUENTE, TOMAS",Castilla y León,Ávila,Ávila,"C/ Ramón y Cajal, 1",05001,"920 35 90 24, 920 35 90 25",mixto4.avila@justicia.es,920 35 90 06,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--4---Avila?provincia=05
Juzgado de Primera Instancia nº 1,"BASURTO GARRIDO, MONICA",País Vasco,Araba/Álava,Vitoria-Gasteiz,"Avda. Gasteiz, 18 - 3ª Plta.",01008,"945 00 48 71, 945 00 48 97",instancia1.vitoria@justizia.eus,945 00 48 98,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--1---Vitoria-Gasteiz?provincia=01
Audiencia Provincial Presidencia,"MOLINA ROMERO, MARIA LOURDES",Andalucía,Almería,Almería,"C/ Reina Regente, 4",04001,"950 03 72 19, 600 15 53 55",,950 00 50 22,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Presidencia---Almeria?provincia=04
Juzgado de lo Social nº 2,"GOMEZ PEREZ, MIGUEL ANGEL",Asturias,Asturias,Avilés,"C/ Marcos del Torniello, 27 - 2ª Plta.",33401,"98 512 78 51, 98 512 78 52",juzgadosocial2.aviles@asturias.org,98 512 78 54,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--2---Aviles?provincia=33
Juzgado de Primera Instancia e Instrucción nº 1,"SALINAS VELA, RUBEN",Ceuta,Ceuta,Ceuta,"C/ Serrano Orive, 21. Palacio de Justicia",51001,956 51 34 17,mixto1.ceuta@justicia.es,956 51 52 41,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Ceuta?provincia=51
Juzgado de lo Contencioso-Administrativo nº 1,"PRIETA GOBANTES, IGNACIO DE LA",Ceuta,Ceuta,Ceuta,"C/ Fernández, 2",51001,956 51 20 19,,956 51 37 96,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Contencioso-Administrativo-n--1---Ceuta?provincia=51
Juzgado de Primera Instancia e Instrucción nº 2,"BADAS CEREZO, RICARDO",Asturias,Asturias,Avilés,"C/ Marcos del Torniello, 27 - 3ª Plta.",33401,"98 512 78 15, 98 512 78 89",juzgado2.aviles@asturias.org,98 512 78 18,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Aviles?provincia=33
Juzgado de Primera Instancia e Instrucción nº 1,"BERMEJO CURIEL, NOEMI",Extremadura,Badajoz,Almendralejo,"Avda. Juan Carlos Rodríguez Ibarra, 112 B",06200,"924 67 13 62, 924 66 68 26",mixto1.almendralejo@justicia.es,924 67 09 54,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Almendralejo?provincia=06
